,database,scenario,fuelOrTech,2018,2025,2030,2035,2040,2045,2050
59,F.sqlite,solve,WIND,4.2491371828437545,4.2491371828437545,21484.484979644814,30853.732282695764,87024.74216179925,96604.96435561735,111591.41270538433
60,G.sqlite,solve,BIO,4207.220684476886,4207.220695087999,4207.220705010223,4207.220700754664,4207.220703837997,4207.2206978657805,4207.220691949109
61,G.sqlite,solve,COAL_TAXED,8260.325939386044,0.0,0.0,0.0,0.0,0.0,0.0
62,G.sqlite,solve,ELC_CENTRAL,478.28536663262827,6568.264190138363,4188.466486595217,6593.831701219513,5190.5813282357985,5313.185240983881,5389.546277367191
63,G.sqlite,solve,ELC_DIST,0.0,13629.748768514908,16526.700424582472,16584.603178795456,16908.44715918648,17147.432045398025,19784.065855271696
64,G.sqlite,solve,HYDRO,1767.7994858586808,1686.7746944049718,1539.456891787118,1570.099884033855,1554.1886720766818,1476.8468256259189,1325.8460782828972
65,G.sqlite,solve,NATGAS_TAXED,50155.93050406915,23819.432530166658,24468.91731401957,24681.53159474523,21331.711514287592,16029.398012823507,2054.242250254507
66,G.sqlite,solve,NUCLEAR,29259.027267851623,29007.645598206087,28999.830623199832,28982.24693985243,28965.96574539497,28936.659595371515,23906.915244681077
67,G.sqlite,solve,OIL_TAXED,1120.2173589517292,0.0,0.0,0.0,0.0,0.0,0.0
68,G.sqlite,solve,SOLAR,797.7931575368456,58974.88108949518,59651.02205809168,64721.51331041724,65270.326092245145,60076.706430358296,57608.28730717244
69,G.sqlite,solve,WIND,4.249137182843754,28263.89529503641,41872.867147453886,53927.53762038225,72500.58279267937,99153.89271404536,137256.26398063835
70,H.sqlite,solve,BIO,4207.22069142133,4207.220707810217,4207.2207233657755,1885.3143453971375,0.0,0.0,0.0
71,H.sqlite,solve,COAL_TAXED,8260.325939386046,0.0,0.0,0.0,0.0,0.0,0.0
72,H.sqlite,solve,ELC_CENTRAL,478.2853666326283,2916.083937305089,3086.3893608580006,3964.981492033095,5296.496924014976,4829.803956447178,5390.578312652221
73,H.sqlite,solve,ELC_DIST,0.0,0.0,696.6473344462067,1454.1150719966258,1608.3960495644944,4400.730269437252,10756.500243466307
74,H.sqlite,solve,HYDRO,1767.7994858586806,1694.1405846886425,1730.970035273662,1691.942999131329,1659.2865574385373,1675.7258593961335,1631.5305185274435
75,H.sqlite,solve,NATGAS_TAXED,50155.93044415248,50155.93038662465,50155.93047179135,50155.93042623574,50155.930214846754,50155.93020781897,50155.92998040219
76,H.sqlite,solve,NUCLEAR,29259.02726785162,29239.489823391556,29204.322428918982,29162.64256221896,29131.38267608284,29131.382676082845,29154.176370545527
77,H.sqlite,solve,OIL_TAXED,1120.2173578406187,18946.196492934727,27217.61356316297,21943.425977554733,7722.900914817212,7313.140752378292,4884.353911546372
78,H.sqlite,solve,SOLAR,797.7931575368457,38324.22870134968,45068.39528474386,48384.1792263604,46290.04412968509,48391.09149148531,64763.57981399716
79,H.sqlite,solve,WIND,4.249137182843754,4.038052643785999,4.14325668275905,21661.06549384026,56271.54317837259,70939.9991031409,74297.97261943844
